date,month,year,lake,site,species,Total length (mm)
20170909,9,2017,MCDERMOTT,1,Bluegill,61
20170909,9,2017,MCDERMOTT,1,Bluegill,59
20170909,9,2017,MCDERMOTT,1,Bluegill,55
20170909,9,2017,MCDERMOTT,1,Bluegill,55
20170909,9,2017,MCDERMOTT,1,Bluegill,53
20170623,6,2017,MCDERMOTT,1,Bluegill,107
20170623,6,2017,MCDERMOTT,1,Bluegill,65
20170623,6,2017,MCDERMOTT,1,Bluegill,65
20170623,6,2017,MCDERMOTT,1,Bluegill,65
20170623,6,2017,MCDERMOTT,1,Bluegill,50
20170623,6,2017,MCDERMOTT,1,Bluegill,47
20170623,6,2017,MCDERMOTT,1,Bluegill,46
20170623,6,2017,MCDERMOTT,1,Bluegill,46
20170623,6,2017,MCDERMOTT,1,Bluegill,44
20170623,6,2017,MCDERMOTT,1,Bluegill,44
20170623,6,2017,MCDERMOTT,1,Bluegill,44
20170623,6,2017,MCDERMOTT,1,Bluegill,44
20170623,6,2017,MCDERMOTT,1,Bluegill,43
20170623,6,2017,MCDERMOTT,1,Bluegill,41
20170623,6,2017,MCDERMOTT,1,Bluegill,41
20170623,6,2017,MCDERMOTT,1,Bluegill,40
20170623,6,2017,MCDERMOTT,1,Bluegill,40
20170623,6,2017,MCDERMOTT,1,Bluegill,40
20170623,6,2017,MCDERMOTT,1,Bluegill,40
20170623,6,2017,MCDERMOTT,1,Bluegill,39
20170623,6,2017,MCDERMOTT,1,Bluegill,39
20170623,6,2017,MCDERMOTT,1,Bluegill,39
20170623,6,2017,MCDERMOTT,1,Bluegill,38
20170623,6,2017,MCDERMOTT,1,Bluegill,37
20170623,6,2017,MCDERMOTT,1,Bluegill,37
20170623,6,2017,MCDERMOTT,1,Bluegill,36
20170623,6,2017,MCDERMOTT,1,Bluegill,35
20170714,7,2017,MCDERMOTT,1,Bluegill,140
20170714,7,2017,MCDERMOTT,1,Bluegill,140
20170714,7,2017,MCDERMOTT,1,Bluegill,120
20170714,7,2017,MCDERMOTT,1,Bluegill,116
20170714,7,2017,MCDERMOTT,1,Bluegill,106
20170714,7,2017,MCDERMOTT,1,Bluegill,97
20170714,7,2017,MCDERMOTT,1,Bluegill,83
20170714,7,2017,MCDERMOTT,1,Bluegill,76
20170714,7,2017,MCDERMOTT,1,Bluegill,75
20170714,7,2017,MCDERMOTT,1,Bluegill,72
20170714,7,2017,MCDERMOTT,1,Bluegill,70
20170714,7,2017,MCDERMOTT,1,Bluegill,50
20170714,7,2017,MCDERMOTT,1,Bluegill,48
20170714,7,2017,MCDERMOTT,1,Bluegill,47
20170714,7,2017,MCDERMOTT,1,Bluegill,47
20170714,7,2017,MCDERMOTT,1,Bluegill,46
20170714,7,2017,MCDERMOTT,1,Bluegill,45
20170714,7,2017,MCDERMOTT,1,Bluegill,45
20170714,7,2017,MCDERMOTT,1,Bluegill,43
20170809,8,2017,MCDERMOTT,1,Bluegill,142
20170809,8,2017,MCDERMOTT,1,Bluegill,114
20170809,8,2017,MCDERMOTT,1,Bluegill,95
20170809,8,2017,MCDERMOTT,1,Bluegill,90
20170809,8,2017,MCDERMOTT,1,Bluegill,89
20170809,8,2017,MCDERMOTT,1,Bluegill,87
20170809,8,2017,MCDERMOTT,1,Bluegill,87
20170809,8,2017,MCDERMOTT,1,Bluegill,80
20170809,8,2017,MCDERMOTT,1,Bluegill,78
20170809,8,2017,MCDERMOTT,1,Bluegill,77
20170809,8,2017,MCDERMOTT,1,Bluegill,74
20170809,8,2017,MCDERMOTT,1,Bluegill,69
20170809,8,2017,MCDERMOTT,1,Bluegill,67
20170809,8,2017,MCDERMOTT,1,Bluegill,63
